"Serie","cvegeo","Entidad_federativa","Periodo","Sexo|Total","Sexo|Hombres","Sexo|Mujeres",
"Población_de_18_años_y_más_usuaria_del_servicio_de_educación_pública_universitaria_que_está_muy_satisfecha_o_satisfecha_con_el_servicio_recibido",	00,"Estados_Unidos_Mexicanos","2023","3,725,835","1,633,230","2,092,605",
"Población_de_18_años_y_más_usuaria_del_servicio_de_educación_pública_universitaria_que_está_muy_satisfecha_o_satisfecha_con_el_servicio_recibido",	01,"Aguascalientes","2023","32,391","15,429","16,962",
"Población_de_18_años_y_más_usuaria_del_servicio_de_educación_pública_universitaria_que_está_muy_satisfecha_o_satisfecha_con_el_servicio_recibido",	02,"Baja_California","2023","189,269","94,258","95,011",
"Población_de_18_años_y_más_usuaria_del_servicio_de_educación_pública_universitaria_que_está_muy_satisfecha_o_satisfecha_con_el_servicio_recibido",	03,"Baja_California_Sur","2023","16,656","7,233","9,423",
"Población_de_18_años_y_más_usuaria_del_servicio_de_educación_pública_universitaria_que_está_muy_satisfecha_o_satisfecha_con_el_servicio_recibido",	04,"Campeche","2023","19,392","7,860","11,532",
"Población_de_18_años_y_más_usuaria_del_servicio_de_educación_pública_universitaria_que_está_muy_satisfecha_o_satisfecha_con_el_servicio_recibido",	05,"Coahuila_de_Zaragoza","2023","106,801","39,435","67,366",
"Población_de_18_años_y_más_usuaria_del_servicio_de_educación_pública_universitaria_que_está_muy_satisfecha_o_satisfecha_con_el_servicio_recibido",	06,"Colima","2023","27,623","13,678","13,945",
"Población_de_18_años_y_más_usuaria_del_servicio_de_educación_pública_universitaria_que_está_muy_satisfecha_o_satisfecha_con_el_servicio_recibido",	07,"Chiapas","2023","70,878","20,879","49,999",
"Población_de_18_años_y_más_usuaria_del_servicio_de_educación_pública_universitaria_que_está_muy_satisfecha_o_satisfecha_con_el_servicio_recibido",	08,"Chihuahua","2023","172,908","76,739","96,169",
"Población_de_18_años_y_más_usuaria_del_servicio_de_educación_pública_universitaria_que_está_muy_satisfecha_o_satisfecha_con_el_servicio_recibido",	09,"Ciudad_de_México","2023","579,005","239,671","339,334",
"Población_de_18_años_y_más_usuaria_del_servicio_de_educación_pública_universitaria_que_está_muy_satisfecha_o_satisfecha_con_el_servicio_recibido",	10,"Durango","2023","48,839","23,286","25,553",
"Población_de_18_años_y_más_usuaria_del_servicio_de_educación_pública_universitaria_que_está_muy_satisfecha_o_satisfecha_con_el_servicio_recibido",	11,"Guanajuato","2023","90,911","38,305","52,606",
"Población_de_18_años_y_más_usuaria_del_servicio_de_educación_pública_universitaria_que_está_muy_satisfecha_o_satisfecha_con_el_servicio_recibido",	12,"Guerrero","2023","18,651","4,903","13,748",
"Población_de_18_años_y_más_usuaria_del_servicio_de_educación_pública_universitaria_que_está_muy_satisfecha_o_satisfecha_con_el_servicio_recibido",	13,"Hidalgo","2023","35,202","15,707","19,495",
"Población_de_18_años_y_más_usuaria_del_servicio_de_educación_pública_universitaria_que_está_muy_satisfecha_o_satisfecha_con_el_servicio_recibido",	14,"Jalisco","2023","167,658","93,548","74,110",
"Población_de_18_años_y_más_usuaria_del_servicio_de_educación_pública_universitaria_que_está_muy_satisfecha_o_satisfecha_con_el_servicio_recibido",	15,"México","2023","838,121","317,995","520,126",
