País,Acumulado ,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,1T 2025 P,2T 2025 P,3T 2025 P
Sudáfrica,266,-,6,1,3,5,3,4,4,4,5,10,7,7,6,9,12,16,12,14,21,11,9,8,6,9,12,8,10,10,7,7,11,6,4,-
Sudán,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Suecia,4768,-,46,82,88,41,69,64,77,131,147,175,176,188,150,149,173,177,177,266,227,177,149,133,133,143,130,167,138,176,178,236,296,52,58,47
Suiza,12969,256,228,109,101,112,101,152,228,181,246,241,315,386,506,506,538,553,585,775,753,630,570,532,497,492,427,432,515,499,411,431,437,108,119,121
Suriname,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Tailandia,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,2,-,2,-,-,1,-,2,4,1,-,1
"Tanzania, (Rep. Unida de)",2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-
Tayikistán,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Timor-Leste (Timor Oriental),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Togo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Tonga,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Trinidad y Tobago,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Túnez,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-
Turkmenistán,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Turquía,60,-,-,-,-,-,-,-,-,-,2,-,1,-,2,2,-,1,1,4,2,2,1,4,4,3,3,2,9,5,2,5,4,1,-,3
Tuvalu,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ucrania,13,-,-,-,-,-,-,-,-,-,-,2,-,-,-,2,-,-,-,2,-,-,1,-,2,-,1,1,-,-,-,1,1,-,-,-
Uganda,3,-,-,-,-,-,-,-,-,-,-,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Uruguay,22,-,-,-,-,-,-,-,-,-,-,1,1,-,-,2,1,2,2,-,3,2,-,-,-,-,1,-,-,-,3,1,3,-,-,1
Uzbekistán,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Vanuatu,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Venezuela,52,-,-,-,-,-,-,-,-,-,-,5,7,-,-,5,3,2,3,3,6,3,5,4,-,1,1,-,1,-,1,-,1,-,1,-
Vietnam,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,2,-,-,-,-,-,1,-,-,-,-
Yemen,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Zambia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Zimbabwe,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
OTROS,4581,735,170,131,80,84,101,106,217,158,191,134,186,270,367,336,275,282,291,19,36,16,33,25,19,18,24,16,41,67,40,49,45,6,13,15
Suma,258380,6183,4367,3538,3186,3944,3219,3899,5519,5479,6611,6008,6838,8098,9632,9957,10440,9629,9399,11485,12330,10343,9819,9338,8657,8510,8921,8702,7726,10369,9698,10471,10908,2768,2439,2765
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuente: Dirección Divisional de Patentes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P Cifras preliminares,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
