País,Acumulado ,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,1T 2025 P,2T 2025 P,3T 2025 P
Comoras,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Congo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Corea, Rep. Pop. Dem. de (Norte)",39,-,-,-,-,-,-,-,-,-,-,8,5,-,-,5,9,2,2,-,1,-,-,-,1,2,1,2,-,-,-,1,-,-,1,-
"Corea, República de (Sur)",4260,-,4,6,2,1,4,29,41,49,56,38,61,73,97,128,218,249,309,254,313,234,253,177,179,155,127,141,129,171,221,208,193,84,61,69
Costa Rica,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,1,1,-,1,-,-,-,-,-,-,-,-
Côte d’Ivoire (Costa de Marfil),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Croacia,18,-,-,-,-,-,-,-,-,-,-,-,5,-,-,8,1,-,-,2,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-
Cuba,113,-,-,-,-,-,-,-,-,-,-,4,4,-,-,6,11,8,8,8,9,9,5,8,2,9,5,4,1,4,-,4,2,2,-,1
Dinamarca,2075,-,18,10,7,4,6,15,27,40,42,31,40,42,37,78,75,81,90,155,160,82,86,100,88,80,71,72,82,89,113,107,105,15,27,16
"Djibouti, (Yibuti)",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Dominica,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ecuador,7,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,2,-,-,-,1,-,-,-,-,-,-,-,1,1,-,-,-,-
Egipto,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-
El Salvador,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-,-,1,-,-,-,-
Emiratos Árabes Unidos,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,2,-,-,1,4,2,2,-,-,3,4,-,1
Eritrea,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
Eslovaquia,31,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,1,-,1,-,2,1,4,2,-,5,1,-,-,1,3,4,3,1,-,-
Eslovenia,54,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,6,5,2,4,4,3,2,4,2,1,3,1,2,2,2,-,3,1,-,-
España,1750,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,141,142,107,116,123,110,119,105,106,123,133,90,129,136,30,40,28
Estados Unidos de América,129958,3714,2367,2198,2084,2873,2060,2324,3158,3237,3706,3368,3552,4338,5180,5094,5483,4831,4769,5612,5924,4792,4514,4270,4032,3950,4176,4074,3113,4686,4675,4798,4768,1200,1046,1175
Estonia,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-,-,-,-,-,-,-,-,2,2,-,-,-
Eswatini (Suazilandia),5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,-,-,-,-,-,-,-,,,,-,-,2,-,-,-,-,-,-
Etiopía,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Fiji, (Fiyi)",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Filipinas,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,1,-,-,1,2,1,-,-,1,-,-,-,-
Finlandia,1552,-,14,6,6,7,5,11,18,12,25,31,44,46,69,90,85,111,92,85,83,70,64,49,52,47,42,53,47,59,48,59,98,13,11,19
Francia,12278,251,210,162,108,120,117,209,333,298,335,337,522,558,711,745,682,592,439,551,568,500,398,432,380,359,328,275,320,353,293,305,339,85,65,95
Gabón,3,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Gambia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Georgia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ghana,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Granada,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Grecia,120,-,-,1,1,1,-,-,-,-,3,6,3,3,4,2,1,8,2,1,5,5,4,5,3,4,7,3,16,7,5,8,6,3,3,3
Guatemala,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
Guinea,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Guinea Bissau,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Guinea Ecuatorial,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Guyana,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Haití,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Honduras,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Hong Kong, China",35,-,-,-,-,-,-,-,-,-,-,4,4,-,-,2,1,-,-,4,4,3,1,-,-,1,-,2,3,-,2,2,2,-,-,1
Hungría,185,-,3,5,6,-,1,2,2,3,3,14,8,3,4,6,4,15,3,11,9,8,7,12,5,2,8,3,5,7,11,10,4,-,1,1
India,864,-,1,1,1,-,1,1,-,-,4,2,7,17,19,22,27,29,29,50,48,45,37,40,43,41,44,48,41,66,62,58,57,13,10,25
Indonesia,5,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-,-,-,1,-,-
Irán (República Islámica del),3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
Iraq,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Irlanda,868,-,3,2,-,3,-,1,24,2,6,12,10,17,21,22,20,28,33,46,47,32,34,22,18,30,29,51,36,69,72,58,76,28,17,14
Islandia,29,-,-,-,-,-,-,-,-,-,-,4,1,-,-,1,1,2,1,4,2,5,1,2,2,1,-,-,1,-,-,-,1,-,-,-
Islas Cook,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Islas Marshall,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Islas Salomón,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Israel,1218,-,15,9,14,7,7,18,1,15,18,21,27,25,42,43,48,46,45,47,64,57,52,65,38,43,59,53,54,64,69,82,42,18,10,12
Italia,2769,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,221,203,207,195,193,137,138,139,176,216,229,172,207,231,49,56,53
Jamaica,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Japón,14480,220,175,123,101,98,102,134,243,218,256,197,234,284,378,418,407,399,401,579,794,665,709,601,566,570,615,751,659,780,786,887,792,182,159,159
Jordania,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,-,3,1,-,1,-,-,-,-,-,-
Kazajstán,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,2,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kenya,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kirguistán,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kiribati,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kuwait,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-
Laos (Rep. Dem. Popular ),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Lesotho,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Letonia,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,1,2,-,3,-,-,1,-,3,1,-,-,1,-,-,1,-
Líbano,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-
Liberia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Libia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Liechtenstein,139,-,6,4,3,2,7,3,6,4,7,4,1,2,2,4,9,4,2,6,6,2,8,2,2,9,1,4,6,5,9,4,4,1,-,1
Lituania,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,1,-,-
Luxemburgo,732,-,3,4,4,2,1,5,5,3,6,10,7,10,14,16,29,37,24,28,21,22,40,38,32,28,20,20,40,54,37,56,69,33,14,13
"Macao, China",6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,-,-,-,-,-
Macedonia del Norte,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Madagascar,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Malasia,53,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,2,1,2,3,2,4,5,5,3,4,2,4,1,2,4,3,4,1,-,-
Malawi,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Maldivas,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Malí,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Malta,73,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,1,3,3,3,7,2,2,1,2,8,5,1,8,12,8,4,1,-,3
Marruecos,8,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,2,-,-,-,-,-,-,-,1,1,1,-,1,-,-
Mauricio,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,2,1,-,-,-,-,-,2,1,-,1,-,3,-,-,-
Mauritania,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
