"Serie","cvegeo","Entidad_federativa","Periodo","Sexo|Total","Sexo|Hombres","Sexo|Mujeres",
"Población_de_18_años_y_más,_cuyos_hijos_e_hijas_fueron_usuarios_de_servicios_de_educación_primaria,_secundaria_o_bachillerato,_que_habita_en_áreas_urbanas_de_cien_mil_habitantes_y_más",	00,"Estados_Unidos_Mexicanos","2023","14,301,879","6,012,013","8,289,866",
"Población_de_18_años_y_más,_cuyos_hijos_e_hijas_fueron_usuarios_de_servicios_de_educación_primaria,_secundaria_o_bachillerato,_que_habita_en_áreas_urbanas_de_cien_mil_habitantes_y_más",	01,"Aguascalientes","2023","188,467","86,149","102,318",
"Población_de_18_años_y_más,_cuyos_hijos_e_hijas_fueron_usuarios_de_servicios_de_educación_primaria,_secundaria_o_bachillerato,_que_habita_en_áreas_urbanas_de_cien_mil_habitantes_y_más",	02,"Baja_California","2023","606,766","249,594","357,172",
"Población_de_18_años_y_más,_cuyos_hijos_e_hijas_fueron_usuarios_de_servicios_de_educación_primaria,_secundaria_o_bachillerato,_que_habita_en_áreas_urbanas_de_cien_mil_habitantes_y_más",	03,"Baja_California_Sur","2023","58,968","26,831","32,137",
"Población_de_18_años_y_más,_cuyos_hijos_e_hijas_fueron_usuarios_de_servicios_de_educación_primaria,_secundaria_o_bachillerato,_que_habita_en_áreas_urbanas_de_cien_mil_habitantes_y_más",	04,"Campeche","2023","101,231","46,546","54,685",
"Población_de_18_años_y_más,_cuyos_hijos_e_hijas_fueron_usuarios_de_servicios_de_educación_primaria,_secundaria_o_bachillerato,_que_habita_en_áreas_urbanas_de_cien_mil_habitantes_y_más",	05,"Coahuila_de_Zaragoza","2023","508,393","204,748","303,645",
"Población_de_18_años_y_más,_cuyos_hijos_e_hijas_fueron_usuarios_de_servicios_de_educación_primaria,_secundaria_o_bachillerato,_que_habita_en_áreas_urbanas_de_cien_mil_habitantes_y_más",	06,"Colima","2023","94,789","42,169","52,620",
"Población_de_18_años_y_más,_cuyos_hijos_e_hijas_fueron_usuarios_de_servicios_de_educación_primaria,_secundaria_o_bachillerato,_que_habita_en_áreas_urbanas_de_cien_mil_habitantes_y_más",	07,"Chiapas","2023","259,608","109,084","150,524",
"Población_de_18_años_y_más,_cuyos_hijos_e_hijas_fueron_usuarios_de_servicios_de_educación_primaria,_secundaria_o_bachillerato,_que_habita_en_áreas_urbanas_de_cien_mil_habitantes_y_más",	08,"Chihuahua","2023","648,287","262,391","385,896",
"Población_de_18_años_y_más,_cuyos_hijos_e_hijas_fueron_usuarios_de_servicios_de_educación_primaria,_secundaria_o_bachillerato,_que_habita_en_áreas_urbanas_de_cien_mil_habitantes_y_más",	09,"Ciudad_de_México","2023","1,617,447","634,104","983,343",
"Población_de_18_años_y_más,_cuyos_hijos_e_hijas_fueron_usuarios_de_servicios_de_educación_primaria,_secundaria_o_bachillerato,_que_habita_en_áreas_urbanas_de_cien_mil_habitantes_y_más",	10,"Durango","2023","227,737","97,696","130,041",
"Población_de_18_años_y_más,_cuyos_hijos_e_hijas_fueron_usuarios_de_servicios_de_educación_primaria,_secundaria_o_bachillerato,_que_habita_en_áreas_urbanas_de_cien_mil_habitantes_y_más",	11,"Guanajuato","2023","665,407","291,177","374,230",
"Población_de_18_años_y_más,_cuyos_hijos_e_hijas_fueron_usuarios_de_servicios_de_educación_primaria,_secundaria_o_bachillerato,_que_habita_en_áreas_urbanas_de_cien_mil_habitantes_y_más",	12,"Guerrero","2023","78,925","30,130","48,795",
"Población_de_18_años_y_más,_cuyos_hijos_e_hijas_fueron_usuarios_de_servicios_de_educación_primaria,_secundaria_o_bachillerato,_que_habita_en_áreas_urbanas_de_cien_mil_habitantes_y_más",	13,"Hidalgo","2023","124,855","55,755","69,100",
"Población_de_18_años_y_más,_cuyos_hijos_e_hijas_fueron_usuarios_de_servicios_de_educación_primaria,_secundaria_o_bachillerato,_que_habita_en_áreas_urbanas_de_cien_mil_habitantes_y_más",	14,"Jalisco","2023","834,152","372,843","461,309",
"Población_de_18_años_y_más,_cuyos_hijos_e_hijas_fueron_usuarios_de_servicios_de_educación_primaria,_secundaria_o_bachillerato,_que_habita_en_áreas_urbanas_de_cien_mil_habitantes_y_más",	15,"México","2023","2,906,598","1,245,374","1,661,224",
"Población_de_18_años_y_más,_cuyos_hijos_e_hijas_fueron_usuarios_de_servicios_de_educación_primaria,_secundaria_o_bachillerato,_que_habita_en_áreas_urbanas_de_cien_mil_habitantes_y_más",	16,"Michoacán_de_Ocampo","2023","256,539","109,377","147,162",
"Población_de_18_años_y_más,_cuyos_hijos_e_hijas_fueron_usuarios_de_servicios_de_educación_primaria,_secundaria_o_bachillerato,_que_habita_en_áreas_urbanas_de_cien_mil_habitantes_y_más",	17,"Morelos","2023","200,829","75,146","125,683",
"Población_de_18_años_y_más,_cuyos_hijos_e_hijas_fueron_usuarios_de_servicios_de_educación_primaria,_secundaria_o_bachillerato,_que_habita_en_áreas_urbanas_de_cien_mil_habitantes_y_más",	18,"Nayarit","2023","79,824","27,315","52,509",
"Población_de_18_años_y_más,_cuyos_hijos_e_hijas_fueron_usuarios_de_servicios_de_educación_primaria,_secundaria_o_bachillerato,_que_habita_en_áreas_urbanas_de_cien_mil_habitantes_y_más",	19,"Nuevo_León","2023","1,060,046","461,010","599,036",
"Población_de_18_años_y_más,_cuyos_hijos_e_hijas_fueron_usuarios_de_servicios_de_educación_primaria,_secundaria_o_bachillerato,_que_habita_en_áreas_urbanas_de_cien_mil_habitantes_y_más",	20,"Oaxaca","2023","136,825","54,953","81,872",
"Población_de_18_años_y_más,_cuyos_hijos_e_hijas_fueron_usuarios_de_servicios_de_educación_primaria,_secundaria_o_bachillerato,_que_habita_en_áreas_urbanas_de_cien_mil_habitantes_y_más",	21,"Puebla","2023","457,732","205,540","252,192",
"Población_de_18_años_y_más,_cuyos_hijos_e_hijas_fueron_usuarios_de_servicios_de_educación_primaria,_secundaria_o_bachillerato,_que_habita_en_áreas_urbanas_de_cien_mil_habitantes_y_más",	22,"Querétaro","2023","201,191","77,055","124,136",
"Población_de_18_años_y_más,_cuyos_hijos_e_hijas_fueron_usuarios_de_servicios_de_educación_primaria,_secundaria_o_bachillerato,_que_habita_en_áreas_urbanas_de_cien_mil_habitantes_y_más",	23,"Quintana_Roo","2023","298,518","133,974","164,544",
"Población_de_18_años_y_más,_cuyos_hijos_e_hijas_fueron_usuarios_de_servicios_de_educación_primaria,_secundaria_o_bachillerato,_que_habita_en_áreas_urbanas_de_cien_mil_habitantes_y_más",	24,"San_Luis_Potosí","2023","189,501","80,409","109,092",
"Población_de_18_años_y_más,_cuyos_hijos_e_hijas_fueron_usuarios_de_servicios_de_educación_primaria,_secundaria_o_bachillerato,_que_habita_en_áreas_urbanas_de_cien_mil_habitantes_y_más",	25,"Sinaloa","2023","367,274","156,549","210,725",
"Población_de_18_años_y_más,_cuyos_hijos_e_hijas_fueron_usuarios_de_servicios_de_educación_primaria,_secundaria_o_bachillerato,_que_habita_en_áreas_urbanas_de_cien_mil_habitantes_y_más",	26,"Sonora","2023","334,374","141,630","192,744",
"Población_de_18_años_y_más,_cuyos_hijos_e_hijas_fueron_usuarios_de_servicios_de_educación_primaria,_secundaria_o_bachillerato,_que_habita_en_áreas_urbanas_de_cien_mil_habitantes_y_más",	27,"Tabasco","2023","76,359","30,430","45,929",
