"Serie","cvegeo","Entidad_federativa","Periodo","Sexo|Total_Grupo_de_edad|Total","Sexo|Total_Grupo_de_edad|De_5_a_14_años","Sexo|Total_Grupo_de_edad|De_15_a_17_años","Sexo|Hombres_Grupo_de_edad|Total","Sexo|Hombres_Grupo_de_edad|De_5_a_14_años","Sexo|Hombres_Grupo_de_edad|De_15_a_17_años","Sexo|Mujeres_Grupo_de_edad|Total","Sexo|Mujeres_Grupo_de_edad|De_5_a_14_años","Sexo|Mujeres_Grupo_de_edad|De_15_a_17_años",
"Población_de_5_a_17_años_con_una_ocupación_no_permitida",	00,"Estados_Unidos_Mexicanos","2022","2,131,971","924,176","1,207,795","1,533,312","652,562","880,750","598,659","271,614","327,045",
"Población_de_5_a_17_años_con_una_ocupación_no_permitida",	01,"Aguascalientes","2022","22,865","8,844","14,021","ND","ND","ND","ND","ND","ND",
"Población_de_5_a_17_años_con_una_ocupación_no_permitida",	02,"Baja_California","2022","27,384","8,579","18,805","ND","ND","ND","ND","ND","ND",
"Población_de_5_a_17_años_con_una_ocupación_no_permitida",	03,"Baja_California_Sur","2022","10,503","5,436","5,067","ND","ND","ND","ND","ND","ND",
"Población_de_5_a_17_años_con_una_ocupación_no_permitida",	04,"Campeche","2022","13,813","5,749","8,064","ND","ND","ND","ND","ND","ND",
"Población_de_5_a_17_años_con_una_ocupación_no_permitida",	05,"Coahuila_de_Zaragoza","2022","29,094","10,058","19,036","ND","ND","ND","ND","ND","ND",
"Población_de_5_a_17_años_con_una_ocupación_no_permitida",	06,"Colima","2022","14,701","6,436","8,265","ND","ND","ND","ND","ND","ND",
"Población_de_5_a_17_años_con_una_ocupación_no_permitida",	07,"Chiapas","2022","220,086","130,968","89,118","ND","ND","ND","ND","ND","ND",
"Población_de_5_a_17_años_con_una_ocupación_no_permitida",	08,"Chihuahua","2022","42,521","17,308","25,213","ND","ND","ND","ND","ND","ND",
"Población_de_5_a_17_años_con_una_ocupación_no_permitida",	09,"Ciudad_de_México","2022","37,617","14,842","22,775","ND","ND","ND","ND","ND","ND",
"Población_de_5_a_17_años_con_una_ocupación_no_permitida",	10,"Durango","2022","34,135","16,111","18,024","ND","ND","ND","ND","ND","ND",
"Población_de_5_a_17_años_con_una_ocupación_no_permitida",	11,"Guanajuato","2022","132,826","51,511","81,315","ND","ND","ND","ND","ND","ND",
"Población_de_5_a_17_años_con_una_ocupación_no_permitida",	12,"Guerrero","2022","142,119","74,015","68,104","ND","ND","ND","ND","ND","ND",
"Población_de_5_a_17_años_con_una_ocupación_no_permitida",	13,"Hidalgo","2022","58,921","26,646","32,275","ND","ND","ND","ND","ND","ND",
"Población_de_5_a_17_años_con_una_ocupación_no_permitida",	14,"Jalisco","2022","157,808","59,254","98,554","ND","ND","ND","ND","ND","ND",
"Población_de_5_a_17_años_con_una_ocupación_no_permitida",	15,"México","2022","185,322","71,840","113,482","ND","ND","ND","ND","ND","ND",
"Población_de_5_a_17_años_con_una_ocupación_no_permitida",	16,"Michoacán_de_Ocampo","2022","108,742","43,604","65,138","ND","ND","ND","ND","ND","ND",
"Población_de_5_a_17_años_con_una_ocupación_no_permitida",	17,"Morelos","2022","25,125","9,422","15,703","ND","ND","ND","ND","ND","ND",
"Población_de_5_a_17_años_con_una_ocupación_no_permitida",	18,"Nayarit","2022","36,400","18,219","18,181","ND","ND","ND","ND","ND","ND",
"Población_de_5_a_17_años_con_una_ocupación_no_permitida",	19,"Nuevo_León","2022","51,207","20,798","30,409","ND","ND","ND","ND","ND","ND",
"Población_de_5_a_17_años_con_una_ocupación_no_permitida",	20,"Oaxaca","2022","119,445","62,965","56,480","ND","ND","ND","ND","ND","ND",
"Población_de_5_a_17_años_con_una_ocupación_no_permitida",	21,"Puebla","2022","166,225","75,881","90,344","ND","ND","ND","ND","ND","ND",
"Población_de_5_a_17_años_con_una_ocupación_no_permitida",	22,"Querétaro","2022","21,311","4,893","16,418","ND","ND","ND","ND","ND","ND",
"Población_de_5_a_17_años_con_una_ocupación_no_permitida",	23,"Quintana_Roo","2022","17,927","6,104","11,823","ND","ND","ND","ND","ND","ND",
"Población_de_5_a_17_años_con_una_ocupación_no_permitida",	24,"San_Luis_Potosí","2022","47,935","19,366","28,569","ND","ND","ND","ND","ND","ND",
"Población_de_5_a_17_años_con_una_ocupación_no_permitida",	25,"Sinaloa","2022","35,330","10,281","25,049","ND","ND","ND","ND","ND","ND",
"Población_de_5_a_17_años_con_una_ocupación_no_permitida",	26,"Sonora","2022","36,960","9,746","27,214","ND","ND","ND","ND","ND","ND",
"Población_de_5_a_17_años_con_una_ocupación_no_permitida",	27,"Tabasco","2022","38,957","20,570","18,387","ND","ND","ND","ND","ND","ND",
"Población_de_5_a_17_años_con_una_ocupación_no_permitida",	28,"Tamaulipas","2022","36,509","10,250","26,259","ND","ND","ND","ND","ND","ND",
"Población_de_5_a_17_años_con_una_ocupación_no_permitida",	29,"Tlaxcala","2022","20,476","9,512","10,964","ND","ND","ND","ND","ND","ND",
"Población_de_5_a_17_años_con_una_ocupación_no_permitida",	30,"Veracruz_de_Ignacio_de_la_Llave","2022","158,336","58,427","99,909","ND","ND","ND","ND","ND","ND",
"Población_de_5_a_17_años_con_una_ocupación_no_permitida",	31,"Yucatán","2022","44,022","17,709","26,313","ND","ND","ND","ND","ND","ND",
"Población_de_5_a_17_años_con_una_ocupación_no_permitida",	32,"Zacatecas","2022","37,349","18,832","18,517","ND","ND","ND","ND","ND","ND",
"Población_de_5_a_17_años_con_una_ocupación_no_permitida",	00,"Estados_Unidos_Mexicanos","2019","2,017,737","888,839","1,128,898","1,435,661","612,548","823,113","582,076","276,291","305,785",
"Población_de_5_a_17_años_con_una_ocupación_no_permitida",	01,"Aguascalientes","2019","27,996","10,000","17,996","ND","ND","ND","ND","ND","ND",
"Población_de_5_a_17_años_con_una_ocupación_no_permitida",	02,"Baja_California","2019","29,291","9,517","19,774","ND","ND","ND","ND","ND","ND",
"Población_de_5_a_17_años_con_una_ocupación_no_permitida",	03,"Baja_California_Sur","2019","6,017","2,304","3,713","ND","ND","ND","ND","ND","ND",
"Población_de_5_a_17_años_con_una_ocupación_no_permitida",	04,"Campeche","2019","15,937","9,302","6,635","ND","ND","ND","ND","ND","ND",
"Población_de_5_a_17_años_con_una_ocupación_no_permitida",	05,"Coahuila_de_Zaragoza","2019","27,953","9,277","18,676","ND","ND","ND","ND","ND","ND",
"Población_de_5_a_17_años_con_una_ocupación_no_permitida",	06,"Colima","2019","14,374","6,735","7,639","ND","ND","ND","ND","ND","ND",
"Población_de_5_a_17_años_con_una_ocupación_no_permitida",	07,"Chiapas","2019","178,280","95,165","83,115","ND","ND","ND","ND","ND","ND",
"Población_de_5_a_17_años_con_una_ocupación_no_permitida",	08,"Chihuahua","2019","45,777","20,011","25,766","ND","ND","ND","ND","ND","ND",
