"Serie","cvegeo","Entidad_federativa","Periodo","Población_con_inseguridad_alimentaria_con_desglose_geográfico|Total","Población_con_inseguridad_alimentaria_con_desglose_geográfico|Hombres","Población_con_inseguridad_alimentaria_con_desglose_geográfico|Mujeres","Población_con_inseguridad_alimentaria_con_desglose_geográfico|Población_indígena","Población_con_inseguridad_alimentaria_con_desglose_geográfico|Niñas,_niños_y_adolescentes_(0_a_17_años)","Población_con_inseguridad_alimentaria_con_desglose_geográfico|Jóvenes_(18_a_29_años)","Población_con_inseguridad_alimentaria_con_desglose_geográfico|Personas_adultas_(30_a_64_años)","Población_con_inseguridad_alimentaria_con_desglose_geográfico|Personas_adultas_mayores_(65_años_o_más)","Población_con_inseguridad_alimentaria_con_desglose_geográfico|Población_rural","Población_con_inseguridad_alimentaria_con_desglose_geográfico|Población_urbana",
"Población_en_situación_de_pobreza",	00,"Estados_Unidos_Mexicanos","2022","46,804.51 a/ ","NA","NA","NA","NA","NA","NA","NA","NA","NA",
"Población_en_situación_de_pobreza",	01,"Aguascalientes","2022","351.997 a/ ","162.584 a/ ","189.413 a/ ","ND b/ ","147.848 a/ ","66.598 a/ ","114.354 a/ ","23.197 a/ ","100.165 a/ ","251.832 a/ ",
"Población_en_situación_de_pobreza",	02,"Baja_California","2022","511.037 a/ ","241.376 a/ ","269.661 a/ ","ND b/ ","177.497 a/ ","103.323 a/ ","187.389 a/ ","42.828 a/ ","52.113 a/ ","458.924 a/ ",
"Población_en_situación_de_pobreza",	03,"Baja_California_Sur","2022","112.149 a/ ","52.38 a/ ","59.769 a/ ","ND b/ ","39.9 a/ ","19.482 a/ ","44.314 a/ ","8.453 a/ ","15.691 a/ ","96.458 a/ ",
"Población_en_situación_de_pobreza",	04,"Campeche","2022","428.968 a/ ","211.751 a/ ","217.217 a/ ","111.548 a/ ","161.269 a/ ","78.47 a/ ","160.827 a/ ","28.402 a/ ","172.562 a/ ","256.406 a/ ",
"Población_en_situación_de_pobreza",	05,"Coahuila_de_Zaragoza","2022","597.128 a/ ","283.367 a/ ","313.761 a/ ","ND b/ ","230.279 a/ ","111.758 a/ ","207.789 a/ ","47.302 a/ ","98.599 a/ ","498.529 a/ ",
"Población_en_situación_de_pobreza",	06,"Colima","2022","158.409 a/ ","74.454 a/ ","83.955 a/ ","ND b/ ","56.637 a/ ","23.807 a/ ","64.533 a/ ","13.432 a/ ","15.376 a/ ","143.033 a/ ",
"Población_en_situación_de_pobreza",	07,"Chiapas","2022","3,838.705 a/ ","1,819.759 a/ ","2,018.946 a/ ","1,378.655 a/ ","1,631.185 a/ ","643.092 a/ ","1,315.414 a/ ","249.014 a/ ","2,277.693 a/ ","1,561.012 a/ ",
"Población_en_situación_de_pobreza",	08,"Chihuahua","2022","669.065 a/ ","337.577 a/ ","331.488 a/ ","69.275 a/ ","250.34 a/ ","122.897 a/ ","238.311 a/ ","57.517 a/ ","180.387 a/ ","488.678 a/ ",
"Población_en_situación_de_pobreza",	09,"Ciudad_de_México","2022","2,230.068 a/ ","1,049.047 a/ ","1,181.021 a/ ","141.706 a/ ","655.423 a/ ","492.164 a/ ","870.125 a/ ","212.356 a/ ","18.56 a/ ","2,211.508 a/ ",
