Claves_de_cobertura,Descripciones_de_cobertura,Tipos_de_cobertura_geográfica
	00,"Estados Unidos Mexicanos","Nacional"
	01,"Aguascalientes","Entidad Federativa"
	01001,"Aguascalientes","Municipio"
	010010001,"Aguascalientes","Ciudad"
	01002,"Asientos","Municipio"
	01003,"Calvillo","Municipio"
	01004,"Cosío","Municipio"
	01005,"Jesús María","Municipio"
	01006,"Pabellón de Arteaga","Municipio"
	01007,"Rincón de Romos","Municipio"
	01008,"San José de Gracia","Municipio"
	01009,"Tepezalá","Municipio"
	01010,"El Llano","Municipio"
	01011,"San Francisco de los Romo","Municipio"
	02,"Baja California","Entidad Federativa"
	02001,"Ensenada","Municipio"
	020010001,"Ensenada","Ciudad"
	02002,"Mexicali","Municipio"
	020020001,"Mexicali","Ciudad"
	02003,"Tecate","Municipio"
	02004,"Tijuana","Municipio"
	020040001,"Tijuana","Ciudad"
	02005,"Playas de Rosarito","Municipio"
	02006,"San Quintín","Municipio"
	03,"Baja California Sur","Entidad Federativa"
	03001,"Comondú","Municipio"
	03002,"Mulegé","Municipio"
	03003,"La Paz","Municipio"
	030030001,"La Paz","Ciudad"
	03008,"Los Cabos","Municipio"
	03009,"Loreto","Municipio"
	04,"Campeche","Entidad Federativa"
	04001,"Calkiní","Municipio"
	04002,"Campeche","Municipio"
	040020001,"Campeche","Ciudad"
	04003,"Carmen","Municipio"
	040030001,"Ciudad del Carmen","Ciudad"
	04004,"Champotón","Municipio"
	04005,"Hecelchakán","Municipio"
	04006,"Hopelchén","Municipio"
	04007,"Palizada","Municipio"
	04008,"Tenabo","Municipio"
	04009,"Escárcega","Municipio"
	04010,"Calakmul","Municipio"
	04011,"Candelaria","Municipio"
	04012,"Seybaplaya","Municipio"
	04013,"Dzitbalché","Municipio"
	05,"Coahuila de Zaragoza","Entidad Federativa"
	05001,"Abasolo","Municipio"
	05002,"Acuña","Municipio"
	05003,"Allende","Municipio"
	05004,"Arteaga","Municipio"
	05005,"Candela","Municipio"
	05006,"Castaños","Municipio"
	05007,"Cuatro Ciénegas","Municipio"
	05008,"Escobedo","Municipio"
	05009,"Francisco I. Madero","Municipio"
	05010,"Frontera","Municipio"
	05011,"General Cepeda","Municipio"
	05012,"Guerrero","Municipio"
	05013,"Hidalgo","Municipio"
	05014,"Jiménez","Municipio"
	05015,"Juárez","Municipio"
	05016,"Lamadrid","Municipio"
	05017,"Matamoros","Municipio"
	05018,"Monclova","Municipio"
	05019,"Morelos","Municipio"
	05020,"Múzquiz","Municipio"
	05021,"Nadadores","Municipio"
	05022,"Nava","Municipio"
	05023,"Ocampo","Municipio"
	05024,"Parras","Municipio"
	05025,"Piedras Negras","Municipio"
	05026,"Progreso","Municipio"
	05027,"Ramos Arizpe","Municipio"
	05028,"Sabinas","Municipio"
	05029,"Sacramento","Municipio"
	05030,"Saltillo","Municipio"
	050300001,"Saltillo","Ciudad"
	05031,"San Buenaventura","Municipio"
	05032,"San Juan de Sabinas","Municipio"
	05033,"San Pedro","Municipio"
	05034,"Sierra Mojada","Municipio"
	05035,"Torreón","Municipio"
	050350001,"Torreón","Ciudad"
	05036,"Viesca","Municipio"
	05037,"Villa Unión","Municipio"
	05038,"Zaragoza","Municipio"
	06,"Colima","Entidad Federativa"
	06001,"Armería","Municipio"
	06002,"Colima","Municipio"
	060020001,"Colima","Ciudad"
	06003,"Comala","Municipio"
	06004,"Coquimatlán","Municipio"
	06005,"Cuauhtémoc","Municipio"
	06006,"Ixtlahuacán","Municipio"
	06007,"Manzanillo","Municipio"
	06008,"Minatitlán","Municipio"
	06009,"Tecomán","Municipio"
	06010,"Villa de Álvarez","Municipio"
	07,"Chiapas","Entidad Federativa"
	07001,"Acacoyagua","Municipio"
	07002,"Acala","Municipio"
	07003,"Acapetahua","Municipio"
	07004,"Altamirano","Municipio"
	07005,"Amatán","Municipio"
	07006,"Amatenango de la Frontera","Municipio"
	07007,"Amatenango del Valle","Municipio"
	07008,"Angel Albino Corzo","Municipio"
	07009,"Arriaga","Municipio"
	07010,"Bejucal de Ocampo","Municipio"
	07011,"Bella Vista","Municipio"
	07012,"Berriozábal","Municipio"
	07013,"Bochil","Municipio"
	07014,"El Bosque","Municipio"
	07015,"Cacahoatán","Municipio"
	07016,"Catazajá","Municipio"
	07017,"Cintalapa","Municipio"
	07018,"Coapilla","Municipio"
	07019,"Comitán de Domínguez","Municipio"
	07020,"La Concordia","Municipio"
	07021,"Copainalá","Municipio"
	07022,"Chalchihuitán","Municipio"
	07023,"Chamula","Municipio"
	07024,"Chanal","Municipio"
	07025,"Chapultenango","Municipio"
	07026,"Chenalhó","Municipio"
	07027,"Chiapa de Corzo","Municipio"
	07028,"Chiapilla","Municipio"
	07029,"Chicoasén","Municipio"
	07030,"Chicomuselo","Municipio"
	07031,"Chilón","Municipio"
	07032,"Escuintla","Municipio"
	07033,"Francisco León","Municipio"
	07034,"Frontera Comalapa","Municipio"
	07035,"Frontera Hidalgo","Municipio"
	07036,"La Grandeza","Municipio"
	07037,"Huehuetán","Municipio"
	07038,"Huixtán","Municipio"
	07039,"Huitiupán","Municipio"
	07040,"Huixtla","Municipio"
	07041,"La Independencia","Municipio"
	07042,"Ixhuatán","Municipio"
	07043,"Ixtacomitán","Municipio"
	07044,"Ixtapa","Municipio"
	07045,"Ixtapangajoya","Municipio"
	07046,"Jiquipilas","Municipio"
	07047,"Jitotol","Municipio"
	07048,"Juárez","Municipio"
	07049,"Larráinzar","Municipio"
	07050,"La Libertad","Municipio"
	07051,"Mapastepec","Municipio"
	07052,"Las Margaritas","Municipio"
	07053,"Mazapa de Madero","Municipio"
	07054,"Mazatán","Municipio"
	07055,"Metapa","Municipio"
	07056,"Mitontic","Municipio"
	07057,"Motozintla","Municipio"
	07058,"Nicolás Ruíz","Municipio"
	07059,"Ocosingo","Municipio"
	07060,"Ocotepec","Municipio"
	07061,"Ocozocoautla de Espinosa","Municipio"
	07062,"Ostuacán","Municipio"
	07063,"Osumacinta","Municipio"
	07064,"Oxchuc","Municipio"
	07065,"Palenque","Municipio"
	07066,"Pantelhó","Municipio"
	07067,"Pantepec","Municipio"
	07068,"Pichucalco","Municipio"
	07069,"Pijijiapan","Municipio"
	07070,"El Porvenir","Municipio"
	07071,"Villa Comaltitlán","Municipio"
	07072,"Pueblo Nuevo Solistahuacán","Municipio"
	07073,"Rayón","Municipio"
	07074,"Reforma","Municipio"
	07075,"Las Rosas","Municipio"
	07076,"Sabanilla","Municipio"
	07077,"Salto de Agua","Municipio"
	07078,"San Cristóbal de las Casas","Municipio"
	07079,"San Fernando","Municipio"
	07080,"Siltepec","Municipio"
	07081,"Simojovel","Municipio"
	07082,"Sitalá","Municipio"
	07083,"Socoltenango","Municipio"
	07084,"Solosuchiapa","Municipio"
	07085,"Soyaló","Municipio"
	07086,"Suchiapa","Municipio"
	07087,"Suchiate","Municipio"
	07088,"Sunuapa","Municipio"
	07089,"Tapachula","Municipio"
	070890001,"Tapachula","Ciudad"
	07090,"Tapalapa","Municipio"
	07091,"Tapilula","Municipio"
	07092,"Tecpatán","Municipio"
	07093,"Tenejapa","Municipio"
	07094,"Teopisca","Municipio"
	07096,"Tila","Municipio"
	07097,"Tonalá","Municipio"
	07098,"Totolapa","Municipio"
	07099,"La Trinitaria","Municipio"
	07100,"Tumbalá","Municipio"
	07101,"Tuxtla Gutiérrez","Municipio"
	071010001,"Tuxtla Gutiérrez","Ciudad"
	07102,"Tuxtla Chico","Municipio"
	07103,"Tuzantán","Municipio"
	07104,"Tzimol","Municipio"
	07105,"Unión Juárez","Municipio"
	07106,"Venustiano Carranza","Municipio"
	07107,"Villa Corzo","Municipio"
	07108,"Villaflores","Municipio"
	07109,"Yajalón","Municipio"
	07110,"San Lucas","Municipio"
	07111,"Zinacantán","Municipio"
	07112,"San Juan Cancuc","Municipio"
	07113,"Aldama","Municipio"
	07114,"Benemérito de las Américas","Municipio"
	07115,"Maravilla Tenejapa","Municipio"
	07116,"Marqués de Comillas","Municipio"
	07117,"Montecristo de Guerrero","Municipio"
	07118,"San Andrés Duraznal","Municipio"
	07119,"Santiago el Pinar","Municipio"
	07120,"Capitán Luis Ángel Vidal","Municipio"
	07121,"Rincón Chamula San Pedro","Municipio"
	07122,"El Parral","Municipio"
	07123,"Emiliano Zapata","Municipio"
	07124,"Mezcalapa","Municipio"
	07125,"Honduras de la Sierra","Municipio"
	08,"Chihuahua","Entidad Federativa"
	08001,"Ahumada","Municipio"
