Entidad federativa,Nivel educativo,2000/2001,2005/2006,2010/2011,2015/2016,2020/2021,2021/2022,2022/2023,2023/2024
México,Secundaria,7.9,6.6,4.6,2.4,2.4,1.8,2.3,2.4
México,Media superior,17.0,17.1,15.2,14.6,10.3,8.9,9.8,9.7
México,Superior,6.1,6.8,7.1,9.6,9.4,7.8,8.0,9.6
Michoacán ,Primaria,3.5,1.7,1.4,2.2,2.0,-1.1,1.0,2.2
Michoacán ,Secundaria,11.1,11.1,9.1,9.2,8.1,5.8,6.3,7.3
Michoacán ,Media superior,15.1,14.7,13.0,14.5,16.0,9.1,11.8,11.2
Michoacán ,Superior,11.3,15.0,7.6,10.1,12.8,10.7,12.4,10.4
Morelos,Primaria,1.2,0.8,0.4,0.7,1.0,0.6,1.0,1.3
Morelos,Secundaria,6.1,8.4,2.9,2.9,4.5,3.8,3.3,3.9
Morelos,Media superior,16.8,18.3,17.5,21.5,16.3,11.3,12.6,13.7
Morelos,Superior,6.5,11.2,5.3,4.1,6.7,6.8,6.6,5.7
Nayarit,Primaria,2.2,1.1,-0.6,0.8,0.2,-0.4,-0.2,0.3
Nayarit,Secundaria,7.0,8.0,4.8,3.8,2.8,3.0,3.1,3.8
Nayarit,Media superior,16.5,18.7,13.4,17.3,15.7,11.5,7.1,11.9
Nayarit,Superior,3.0,8.5,14.3,5.2,7.5,11.1,8.6,7.0
Nuevo León,Primaria,0.9,0.4,0.4,-0.4,-0.1,-0.2,-0.3,-0.2
Nuevo León,Secundaria,5.9,5.1,4.2,3.5,1.0,3.6,2.4,2.5
Nuevo León,Media superior,22.9,22.9,23.6,12.4,9.7,9.9,8.9,13.0
Nuevo León,Superior,-1.4,2.4,-4.1,2.2,0.8,3.0,2.4,1.9
Oaxaca,Primaria,2.6,-0.2,1.7,1.0,-1.5,-2.5,-6.7,1.2
Oaxaca,Secundaria,8.1,11.3,6.6,4.7,6.0,10.7,-4.1,6.0
Oaxaca,Media superior,16.8,15.2,14.2,12.7,15.0,12.2,9.2,9.9
Oaxaca,Superior,9.3,12.3,13.0,12.2,12.2,15.4,11.1,10.3
Puebla,Primaria,2.1,1.6,0.4,0.4,1.1,-0.6,0.0,0.3
Puebla,Secundaria,7.7,6.0,4.1,4.5,3.3,2.8,2.8,3.5
Puebla,Media superior,9.8,12.4,10.1,11.0,8.9,11.3,9.7,9.5
Puebla,Superior,12.2,12.4,10.1,9.7,7.8,10.6,9.0,12.6
Querétaro,Primaria,0.8,0.7,-0.2,-0.4,-0.1,0.7,-0.6,-0.1
Querétaro,Secundaria,10.4,8.5,7.4,6.6,2.0,5.1,3.3,3.1
Querétaro,Media superior,19.6,14.6,13.8,13.7,15.7,12.1,11.3,8.4
Querétaro,Superior,8.1,4.3,2.3,1.2,5.1,6.0,2.8,0.2
Quintana Roo,Primaria,1.1,0.1,0.2,-1.6,0.0,-0.1,1.9,-0.4
Quintana Roo,Secundaria,8.2,6.9,5.7,4.2,0.5,3.7,6.3,3.7
Quintana Roo,Media superior,16.0,19.1,14.0,13.0,9.7,9.4,10.8,10.0
Quintana Roo,Superior,7.6,11.5,19.6,14.3,18.0,14.1,13.8,11.5
San Luis Potosí,Primaria,1.8,1.3,0.7,0.6,1.0,-0.2,0.3,0.8
San Luis Potosí,Secundaria,6.9,6.9,4.5,5.1,4.1,3.3,3.0,3.6
San Luis Potosí,Media superior,16.2,15.1,12.6,14.1,12.9,10.6,10.7,10.6
San Luis Potosí,Superior,9.5,12.5,11.4,10.0,11.0,10.4,9.5,10.5
Sinaloa,Primaria,3.3,2.0,1.3,0.7,-0.1,-0.2,-0.2,0.6
Sinaloa,Secundaria,7.7,7.4,6.0,4.7,3.4,3.6,2.8,3.2
Sinaloa,Media superior,19.1,15.4,13.4,11.8,16.3,8.2,11.3,11.3
Sinaloa,Superior,14.3,7.8,7.0,8.8,18.0,10.0,13.6,11.3
Sonora,Primaria,2.3,1.2,0.6,0.6,0.2,0.7,0.2,0.6
Sonora,Secundaria,8.7,7.6,5.4,6.8,1.1,4.3,3.8,3.4
Sonora,Media superior,18.0,20.5,14.4,14.0,12.8,11.8,9.6,10.8
Sonora,Superior,7.8,12.0,10.1,13.2,13.9,14.9,13.3,11.2
Tabasco,Primaria,1.8,1.3,0.9,1.1,0.9,0.1,0.6,0.6
Tabasco,Secundaria,7.4,6.4,5.5,4.6,2.0,2.8,2.4,2.8
Tabasco,Media superior,10.8,16.7,12.0,11.9,10.1,6.1,7.1,9.7
Tabasco,Superior,14.4,8.1,10.4,11.4,7.9,9.1,8.0,6.9
Tamaulipas,Primaria,2.1,1.3,1.2,1.0,0.2,0.0,0.1,0.5
Tamaulipas,Secundaria,6.7,6.0,6.8,5.9,2.2,2.9,3.5,3.9
Tamaulipas,Media superior,9.9,15.6,12.9,15.5,14.8,8.7,9.5,10.2
Tamaulipas,Superior,11.2,8.8,10.8,8.8,10.6,7.7,8.7,6.9
Tlaxcala,Primaria,0.4,0.7,0.2,0.0,0.9,-0.5,-0.1,0.2
Tlaxcala,Secundaria,7.2,5.0,5.1,3.9,2.8,1.7,2.3,2.9
Tlaxcala,Media superior,15.4,14.1,14.6,14.3,10.7,8.3,9.6,7.6
Tlaxcala,Superior,11.0,9.1,8.5,4.0,9.7,5.7,7.8,6.8
Veracruz ,Primaria,2.1,1.7,1.4,1.4,1.4,0.3,0.5,0.8
Veracruz ,Secundaria,7.3,7.3,5.4,4.2,4.4,3.1,3.1,3.7
Veracruz ,Media superior,15.2,13.6,12.0,12.8,10.7,6.8,11.8,12.9
Veracruz ,Superior,10.6,12.4,13.1,12.4,13.4,14.3,11.8,12.0
Yucatán,Primaria,2.0,2.0,1.5,0.4,-2.0,1.7,2.9,-3.8
Yucatán,Secundaria,8.4,9.1,4.4,6.1,-0.9,5.0,4.7,-0.6
Yucatán,Media superior,20.8,17.0,16.3,14.7,11.3,11.2,12.2,10.3
Yucatán,Superior,5.1,6.4,9.7,8.3,6.3,10.3,13.6,10.0
Zacatecas,Primaria,2.1,1.4,0.8,0.7,0.8,0.3,0.6,1.2
Zacatecas,Secundaria,10.8,9.0,5.9,6.6,4.7,4.8,5.4,6.0
Zacatecas,Media superior,17.4,16.6,14.3,13.7,14.9,11.0,13.0,11.4
Zacatecas,Superior,11.6,11.0,8.8,12.0,15.2,12.2,10.9,5.3
